pub_date	title	venue	excerpt	citation	url_slug	paper_url
2023-06-06	Developing synthetic data for FIWARE-enabled Digital Twins in the water sector	CEMPE Conference	Digital twins for the water sector are opening new methods of research for water engineers. Languages like Python with its rich set of plug-in package functionality make it relatively straightforward for researchers to take raw data and process it using a rich variety of off -the-shelf data classification, evaluation, and clustering models to create information and knowledge from data, before presenting it using a variety of presentation frameworks. This approach creates two clear challenges: 1) proving that complex data processing pipelines work as intended and 2) collecting the ‘right’ kind of source data, particularly for edge cases and leaks. In this work, we are reviewing our experiences from aqua3S, Fiware4Water and LOTUS to show how we have developed and used synthetic data approaches to 1) demonstrate data integrity across FIWARE-based data processing pipelines, 2) demonstrate how volume data can be processed within real world time constraints and 3) create suitable edge-case data for testing the operation of algorithms. Through our work on these projects, we have started to develop a wealth of best-practice, strategicchoices, and approaches to be avoided for successful and long-term context broker-based data management.	TBD 	x	https://glewis-unexe.github.io/files/cemepe23/cemepe23-193.pdf
2023-06-06	Creating FIWARE-compliant diagnostic brokers for digital twins in water research projects	CEMPE Conference	FIWARE is a great piece of technology and forms the data hub of recent digital twin-based research projects that University of Exeter has been involved with (aqua3S, Fiware4Water, LOTUS and Waterverse). FIWARE’s http-based interface gives users a  mall vocabulary of functions to work data through the data CRUD lifecycle to create, retrieve, update, and delete data in comparison to SQL or no-SQL approaches. However, FIWARE does have some weaknesses that tend to get exposed during development activities rather than operations, which can create a lot of issues for developers. FIWARE’s http-based approach can make it difficult to onboard large amounts of historic data into a broker in a timely manner, something which can be essential when looking to  test algorithms that require large amounts of historic broker data. The purpose of this paper is to document an approach taken to implementing FIWARE ngsi-ld/v1 functionality to make it more suitable for the development and testing of digital twins, rather than their operation.	TBD 	x	https://glewis-unexe.github.io/files/cemepe23/cemepe23-222.pdf
2023-06-06	aqua3S: Developing visualisation, early warning, and decision support components for a multi-partner WDN-focused digital twin service using FIWARE	CEMPE Conference	The water industry is often and unfairly criticised for being relatively slow to adopt IT as part of its operating processes. To address this, the aqua3S project was tasked with developing open-source data definition, management, and processing, and applying them to the water sector. The aqua3S project sought to develop a data-centric approach using a FIWARE broker as a data hub for seven water distribution operator pilots across Europe and develop approaches for standardisation, security, and safety in the water distribution sector. The purpose of this paper is to record the technical decisions, development activities and results generated for the work that was undertaken by University of Exeter in developing the visualisation, early warning, and decision support components of the project, demonstrate how these components integrate with the aqua3S theoretical goals of standardisation, security, and safety, and, moreover, demonstrate how the components integrate with the aqua3S FIWARE-centric broker architecture.	TBD 	x	https://glewis-unexe.github.io/files/cemepe23/cemepe23-223.pdf
2023-01-20	Developing water monitoring solutions with FIWARE defining, creating, populating, and extending digital twins	IOP Conference Series: Earth and Environmental Science, Volume 1136, 14th International Conference on Hydroinformatics 04/07/2022 - 08/07/2022 Bucharest, Romania	The water industry is often and unfairly criticised for being relatively slow to adopt IT as part of its operating processes. To address this, the FIWARE and Fiware4Water projects were tasked with developing open-source data definition, management, and processing, and applying it to the water sector. In this work, we are reviewing our experiences with developing FIWARE-based solutions for the aqua3s and Fiware4Water projects across the whole project lifecycle, from our initial of installing and learning to work with FIWARE context brokers[3], through building and maintaining synthetic digital twins for load and edge-case testing development and debugging and finally looking at longer-term data management and archiving. Through our work on these projects, we have started to develop a wealth of best-practice, strategic choices, and approaches to be avoided for successful and long-term context broker usage.	TBD 	x	https://iopscience.iop.org/article/10.1088/1755-1315/1136/1/012003/pdf
2023-01-20	Web-based GIS for simulation, and visualisation: EPANET and data-rich shapefiles	IOP Conference Series: Earth and Environmental Science, Volume 1136, 14th International Conference on Hydroinformatics 04/07/2022 - 08/07/2022 Bucharest, Romania	The management of water resources often involves with spatially and temporally varied information collected from various providers with different data formats. Although certain software or applications such as QGIS and EPANET have been developed to support the analyses and decision making, these solutions do have some critical weaknesses: 1) it can take users considerable time to become proficient in using a given application, 2) applications generally assume a level of domain-specific knowledge, 3) applications may require customisation through plug-ins to provide suitable information and 4) applications are often tied to specific hardware / operating system configurations. To address these issues, the aqua3s and Fiware4Water research programmes were developed as 'cloud first' projects, using the cloud/web to deliver functionality. In this work, we developed approaches for integrating and visualising information to support water management, specifically developing a web-based EPANET simulation and visualisation for large water networks (c30,000 EPANET nodes and links), and a web-based visualisation of regional flood data shapefiles for Trieste and surrounding regions. In both cases, data was processed and balanced between client and server to minimise client loading and maximise responsiveness.	TBD 	x	https://iopscience.iop.org/article/10.1088/1755-1315/1136/1/012007/pdf
