pub_date	category	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2024-09-02	conferences	A Qualitative Approach to Combined Sewer Overflow Modelling on the WATERVERSE Project	The 3rd International Joint Conference on Water Distribution Systems Analysis & Computing and Control for the Water Industry (WDSA/CCWI 2024)	"In the UK, combined sewer overflows (CSOs) are currently a hot topic, with the UK’s water regulator (OFWAT) mandating greater visibility and reporting on such incidents. However, there is often little existing support for this given a historic lack of CSO-related data collection. This paper looks to build a model of water quality to capture different key CSO versus agricultural runoff events and to develop a digital twin for Totnes and swimming areas of the river Dart."	Lewis et al (2024)	WATERVERSE-CCWI-2024	https://www.mdpi.com/2673-4591/69/1/27	
2024-09-02	conferences	The LOTUS International Multifunctional Digital Twin	The 3rd International Joint Conference on Water Distribution Systems Analysis & Computing and Control for the Water Industry (WDSA/CCWI 2024)	"The LOTUS project was concerned with the development of low-cost innovative technology for water quality and resource management in urban and rural water systems in India. This paper is concerned with the development of a digital twin for the public water distribution network of Guwahati that will enable researchers from the Guwahati Institute of Technology to develop and test leak detection algorithms."	Lewis et al (2024)	LOTUS-CCWI-2024	https://www.mdpi.com/2673-4591/69/1/26	
2024-09-02	conferences	Empowering Water Engineers to Develop XR Learning Applications with the WATERLINE Project	The 3rd International Joint Conference on Water Distribution Systems Analysis & Computing and Control for the Water Industry (WDSA/CCWI 2024)	"The over-arching goal of the WATERLINE project is the creation of a European Digital Water Higher Education Institution (HEI) Alliance, with a core part of this goal being the development and delivery of meaningful water engineering education through extended reality technology, allowing students to engage with virtualised water engineering models, such as flume tanks and water distribution networks in a manner that will promote engaged deep learning. To realise this goal, researchers need to engage with pedagogic, creative, and technical considerations to ensure that water engineering students are presented with engaging applications that provide the “right” knowledge and provide experiences where deep and memorable learning can take place."	Lewis et al (2024)	WATERLINE-CCWI-2024	https://www.mdpi.com/2673-4591/69/1/21	https://www.youtube.com/watch?v=9ghVGT0uM64
